gpes HippocampeCA1 HippocampeCA3 CxPiriforme Subiculum CxVisuel CxCingulaire CxPerirhinal
Lieu -0.627730081 -0.503390833 -1.210876415 0.355746238 -1.980122031 0.706736485 -2.992564048
Lieu 1.216126564 0.301000781 1.615214125 1.1279154 -0.610491119 -0.655638869 0.702587117
Lieu 0.005407587 0.967591559 -0.359439775 0.279255152 -0.217970148 0.89931193 1.349702229
Lieu 0.125487124 -1.745512681 1.076542284 -0.930419906 -0.241744495 -2.907588233 0.288540815
Lieu 0.533152546 -1.0406656 1.480558125 -0.019681257 -0.678682237 0.388223737 -0.165142914
Lieu -0.562375339 0.692608428 1.572255146 1.052717167 0.950965021 0.361141706 0.435989797
Lieu -0.26725577 -1.872305657 -1.056020578 -0.890698025 -1.016259977 -0.360841286 -0.891691888
Lieu -0.138416794 0.44093256 1.385012349 2.222451799 0.848232593 -1.243143094 -1.081659963
Lieu 0.049478394 -1.956313844 0.440829478 0.383174384 -0.858949889 -2.4075001 -0.317040921
Lieu 0.361561332 0.193970749 1.897258619 1.01662833 0.780895865 -0.494478619 0.226351612
Lieu -0.501199394 1.102982291 1.084213827 0.149040955 0.418968348 -0.458900961 0.141423508
Lieu -1.561426091 -0.198349101 -0.389412347 1.023413958 0.28573912 -0.137502636 -0.423621914
Lieu -1.312127671 -1.317383393 0.092590698 -0.791291113 -0.671126131 0.516474028 0.945464996
Lieu -1.538486061 -0.26943436 -0.923202892 -0.270420412 -0.39337676 -1.523245138 0.140761523
Lieu -0.282605067 -0.065045016 -0.132674697 0.619540345 -0.910975259 0.52103132 1.014845047
Lieu -0.545122618 -0.212731591 -0.65220908 0.689233351 0.077694272 0.865770565 0.168024084
Lieu -0.115436096 -0.710708714 -0.13539758 -0.264304703 0.614813422 0.697667025 0.509604879
Lieu -1.390324844 0.221327651 0.933018429 -0.018865861 0.171784973 -0.51092323 -0.083480024
Lieu -0.624201612 0.581764647 0.426477503 0.9446617 -0.27148563 0.774712939 0.766820682
Lieu -0.30222186 -0.736848484 -0.2580271 0.224210786 -0.720161677 0.143672174 0.933829008
Lieu -0.825940692 0.743186027 -1.434487088 -0.740995783 0.047579224 0.298388853 1.417521561
Lieu -1.65845588 -1.991573686 -1.310365077 -1.648548403 -1.370794498 -1.299937196 -0.934693166
Lieu 0.222260797 1.523037916 -1.441694234 2.394422564 -0.085616069 0.826957424 1.086077053
Lieu 0.110043233 -0.616830551 0.241737048 0.2782279 -1.18148593 0.609124343 -0.202398359
Indice -0.227266086 -0.047603448 -0.562364216 -0.776614849 0.350728537 0.682012529 0.161970985
Indice -0.670387158 -0.608561605 0.567801785 0.062280769 0.481612976 0.215771848 0.120630488
Indice 0.371415083 -0.094975251 -0.515235978 -1.362922394 -1.704958108 -1.432812174 0.166585245
Indice 0.659477597 -1.68920039 0.193439251 -0.595236525 -1.144330511 0.201756543 -0.119687852
Indice -0.649154956 0.570023942 -0.493202196 -1.964553451 -1.362334661 1.312687894 -1.469937745
Indice 0.843885485 0.571294117 -0.350961673 1.081672053 1.493293788 1.106343357 1.603957713
Indice -0.693476192 0.640774145 -0.800805417 -1.803543619 1.192020691 0.036030136 -0.54088037
Indice -1.286716093 -1.250083504 -0.218338488 -0.63070724 0.072055834 0.839728737 -0.645824188
Indice -0.290949863 0.111425885 -0.039693555 -1.336327398 -1.722919665 -0.853552939 -1.306742365
Indice 0.978296443 -0.032435438 -0.600454993 0.187250246 1.03960801 -0.263390914 1.334443729
Indice 1.84534301 1.217927413 0.551689522 1.187477 1.780696856 -0.667800834 1.101897972
Indice 0.089418014 1.751470089 -1.049790431 -0.553077627 0.285801022 0.121485215 -2.143536901
Indice 2.1831801 0.972438979 0.00162592 -0.338310657 0.558309386 0.097132702 0.462340291
Indice 1.607611435 0.052749953 -0.090549846 0.13202061 1.874120527 0.629988306 0.309809465
Indice -0.113997661 0.71684032 1.495808253 -0.56393246 1.375887566 0.291659228 0.250787301
Indice -0.938746239 -0.465570318 -1.358447779 -2.267953084 -1.685201573 -0.504454939 0.556845456
Indice -0.351355781 1.064927823 -0.091229308 0.340201091 1.028177789 1.099684706 0.29843558
Indice -0.262561672 0.610378664 0.141595789 0.226123979 1.043994396 0.179303545 0.290370831
Indice 1.994093106 0.022009539 1.714462818 -0.984869302 0.031655649 -0.730385553 -0.087111876
Indice 1.404725293 2.306827749 1.806042854 0.79415324 1.762872016 1.381171714 -2.533109966
Indice 1.798078787 0.426112481 -2.474264351 0.07836624 -0.129172038 -2.291265514 -1.36379713
Indice 1.775813543 0.325636828 -0.325445949 1.048684325 0.347886473 1.134632726 -0.718176151
Indice -1.096676538 0.723035849 -0.384490197 0.268654016 -0.617532167 0.328479768 0.801850346
Indice 0.659758634 -1.42675292 -0.059092583 0.58575047 0.660296218 1.476280747 0.433628428
