Temper EspS Oxyg
10 A 4.62
10 A 3.18
10 A 3.79
10 A 4.03
10 A 4
10 A 2.31
10 A 3.39
10 A 4.39
10 A 3.25
10 A 3.66
20 A 6.34
20 A 7.75
20 A 5.29
20 A 6.11
20 A 7.61
20 A 6.13
20 A 3.78
20 A 6.86
20 A 7.2
20 A 6.7
30 A 6.53
30 A 4.54
30 A 3.69
30 A 6.21
30 A 5.67
30 A 4.67
30 A 2.36
30 A 5.08
30 A 6.27
30 A 5.76
10 B 4.96
10 B 3.96
10 B 5.44
10 B 6.28
10 B 6.45
10 B 5.5
10 B 3.94
10 B 5.42
10 B 2.68
10 B 4.66
20 B 7.45
20 B 5.31
20 B 6.62
20 B 9.55
20 B 7.42
20 B 5.28
20 B 5.74
20 B 6.52
20 B 9.03
20 B 7.02
30 B 7.66
30 B 8.52
30 B 11.03
30 B 8.71
30 B 10.88
30 B 5.7
30 B 7.65
30 B 6.15
30 B 10.35
30 B 8.22
10 C 4.92
10 C 1.44
10 C 1.53
10 C 2.93
10 C 3.33
10 C 1.98
10 C 3.96
10 C 0.96
10 C 2.5
10 C 2.2
20 C 4.17
20 C 4.84
20 C 1.74
20 C 5.53
20 C 4.08
20 C 2.28
20 C 3.88
20 C 8.57
20 C 3.94
20 C 4.34
30 C 5.39
30 C 3.22
30 C 4.87
30 C 5.38
30 C 0.81
30 C 3.14
30 C 6.5
30 C 4.52
30 C 5.72
30 C 6.67
10 D 4.27
10 D 2.89
10 D 0.99
10 D 4.66
10 D 6.57
10 D 4.5
10 D 3.71
10 D 4.86
10 D 4.28
10 D 2.45
20 D 6.16
20 D 3.31
20 D 6.29
20 D 6.16
20 D 4.92
20 D 3.67
20 D 5.44
20 D 3.54
20 D 6.2
20 D 3.45
30 D 6.36
30 D 5.11
30 D 2.7
30 D 5.63
30 D 6.93
30 D 5.88
30 D 5.22
30 D 3.86
30 D 2.96
30 D 6.66
10 E 3.66
10 E 5.24
10 E 2.31
10 E 2.03
10 E 2.65
10 E 4.47
10 E 3.8
10 E 1.51
10 E 0.9
10 E 3.73
20 E 1.84
20 E 1.47
20 E 3.67
20 E 2.6
20 E 5.72
20 E 4.31
20 E 3.65
20 E 4
20 E 6.66
20 E 2.87
30 E 5.11
30 E 4.82
30 E 2.76
30 E 1.9
30 E 2.85
30 E 4.15
30 E 5.44
30 E 8.43
30 E 5.6
30 E 3.55
10 F 3.11
10 F 2.98
10 F 3.01
10 F 5.77
10 F 3.14
10 F 4.97
10 F 3.31
10 F 4.31
10 F 7.34
10 F 2.25
20 F 3.71
20 F 4.23
20 F 4.03
20 F 2.61
20 F 5.59
20 F 5
20 F 5.36
20 F 4.06
20 F 3.21
20 F 5.28
30 F 4.6
30 F 3.31
30 F 7.42
30 F 6.18
30 F 6.83
30 F 3.41
30 F 2.54
30 F 6.23
30 F 4.51
30 F 5.89
10 G 3.72
10 G 6.01
10 G 2.33
10 G 5.5
10 G 3.98
10 G 3.99
10 G 4.5
10 G 7.94
10 G 4.37
10 G 5.26
20 G 7.01
20 G 4.34
20 G 8.02
20 G 2.97
20 G 7.74
20 G 6.95
20 G 3.81
20 G 5.74
20 G 7.83
20 G 3.02
30 G 7.7
30 G 10.08
30 G 4.79
30 G 8.36
30 G 6.75
30 G 6.78
30 G 7.32
30 G 7.39
30 G 8.08
30 G 8.43
10 H 5.04
10 H 6.43
10 H 5.17
10 H 5.37
10 H 5.05
10 H 6.07
10 H 4.57
10 H 4.91
10 H 3.61
10 H 4.37
20 H 4.46
20 H 4.94
20 H 4.69
20 H 4.61
20 H 3.77
20 H 4.47
20 H 6.21
20 H 4.34
20 H 2.46
20 H 8.34
30 H 5.89
30 H 7.61
30 H 3.46
30 H 4.79
30 H 4.57
30 H 3.97
30 H 5.44
30 H 4.37
30 H 4.96
30 H 5.51
