nSyn axonL dendL  somaD cellType anatRegion
1002 999 420 20 1 1
982 995 418 19 1 2
1052 999 393 20 1 1
984 1002 473 21 1 2
1008 987 428 21 1 1
1052 980 376 20 1 2
997 999 389 19 1 1
1004 1002 393 21 1 2
998 1003 438 18 1 1
937 1005 420 20 1 2
964 993 427 18 1 1
1015 1002 380 20 1 2
1007 1015 383 17 1 1
987 986 410 19 1 2
1018 1001 368 18 1 1
997 1000 429 20 1 2
1067 1007 415 19 1 1
1040 1002 405 19 1 2
980 1014 367 20 1 1
980 998 399 19 1 2
1010 1015 385 19 1 1
983 996 374 20 1 2
1061 1009 376 19 1 1
994 1011 405 19 1 2
961 1006 388 19 1 1
1025 1005 403 19 1 2
992 996 413 18 1 1
1015 990 354 18 1 2
1031 1015 430 20 1 1
984 1006 405 19 1 2
971 1009 410 18 1 1
1057 981 325 18 1 2
1061 1010 416 18 1 1
969 1005 335 19 1 2
1016 995 404 20 1 1
971 989 321 21 1 2
993 997 417 19 1 1
1007 997 421 19 1 2
1013 1000 396 18 1 1
1013 1002 410 20 1 2
1018 994 437 19 1 1
1014 1015 365 20 1 2
1008 1012 404 18 1 1
967 992 403 21 1 2
1042 996 343 20 1 1
955 1005 425 19 1 2
993 1007 440 20 1 1
1024 992 406 20 1 2
983 1001 397 19 1 1
1006 987 445 19 1 2
863 993 194 21 2 1
849 988 236 19 2 2
825 994 250 20 2 1
848 1006 249 18 2 2
835 994 248 20 2 1
865 1002 224 21 2 2
876 1009 245 20 2 1
798 1018 272 20 2 2
869 992 248 19 2 1
844 989 220 18 2 2
822 991 252 19 2 1
856 979 259 19 2 2
890 1001 207 20 2 1
823 1014 216 21 2 2
896 972 247 19 2 1
849 988 275 19 2 2
852 981 215 17 2 1
830 994 228 20 2 2
884 1009 217 20 2 1
847 1005 268 20 2 2
843 1009 259 19 2 1
834 989 237 20 2 2
798 1012 258 20 2 1
858 1001 240 18 2 2
854 990 240 20 2 1
825 992 302 19 2 2
841 1002 271 18 2 1
796 982 282 18 2 2
851 1019 231 18 2 1
865 1001 230 19 2 2
870 1004 297 20 2 1
829 1003 187 19 2 2
908 998 297 19 2 1
780 984 239 20 2 2
832 983 260 21 2 1
809 1005 249 20 2 2
831 1006 208 22 2 1
817 985 253 18 2 2
791 994 265 18 2 1
863 985 282 19 2 2
864 1007 278 19 2 1
853 1007 226 20 2 2
818 1014 265 17 2 1
879 981 192 19 2 2
861 1006 224 20 2 1
884 994 221 19 2 2
833 992 300 20 2 1
850 996 170 17 2 2
833 1014 242 19 2 1
861 1032 204 20 2 2
1261 999 682 18 3 1
1199 1006 656 20 3 2
1261 1003 712 19 3 1
1244 991 693 18 3 2
1250 984 696 19 3 1
1268 1002 646 20 3 2
1190 1014 682 19 3 1
1280 1001 702 20 3 2
1236 995 692 21 3 1
1226 996 687 21 3 2
1270 1009 723 20 3 1
1181 999 728 19 3 2
1192 989 707 20 3 1
1264 995 628 19 3 2
1242 1002 720 19 3 1
